model,precision_at_10,recall_at_10,ndcg_at_10,n_customers,candidate_pool_size
popularity_baseline,0.0106,0.0032271618944247,0.0141172364688948,500,
enhanced_random_forest_v1,0.015,0.0032726003058711,0.0175654894104063,100,200.0
popularity_baseline,0.011,0.0024700323937037,0.0160396912715544,100,10.0
enhanced_random_forest_v1,0.015,0.0032726003058711,0.0175654894104063,100,200.0
popularity_baseline,0.011,0.0024700323937037,0.0160396912715544,100,10.0
enhanced_random_forest_v1,0.015,0.0032726003058711,0.0175654894104063,100,200.0
popularity_baseline,0.011,0.0024700323937037,0.0160396912715544,100,10.0
enhanced_random_forest_v1,0.015,0.0032726003058711,0.0175654894104063,100,200.0
popularity_baseline,0.011000000000000001,0.002470032393703778,0.016039691271554496,100,10.0
enhanced_random_forest_v1,0.015,0.0032726003058711193,0.01756548941040639,100,200.0
